Flight Time (s),Probe Stagnation Pressure (Pa),Probe Static Pressure (Pa)
85.29,88664.10,88336.67
86.49,88495.35,88158.32
87.69,88326.85,87979.96
88.89,88158.61,87801.60
90.09,87990.63,87623.25
91.29,87822.94,87444.89
92.49,87655.52,87266.53
93.69,87488.39,87088.18
94.89,87321.55,86909.82
96.10,87155.01,86731.46
97.30,86988.77,86553.11
98.50,86822.86,86374.75
99.70,86657.26,86196.39
100.90,86491.99,86018.04
102.10,86327.05,85839.68
103.30,86162.46,85661.32
104.50,85998.21,85482.97
105.71,85834.33,85304.61
106.91,85670.81,85126.25
108.11,85507.66,84947.90
109.31,85344.90,84769.54
110.51,85182.53,84591.18
111.71,85020.55,84412.83
112.91,84858.99,84234.47
114.11,84697.83,84056.11
115.32,84537.11,83877.76
116.52,84376.81,83699.40
117.72,84216.96,83521.04
118.92,84057.57,83342.69
120.12,83898.63,83164.33
121.32,83740.17,82985.97
122.52,83582.19,82807.62
123.72,83424.69,82629.26
124.92,83267.71,82450.90
126.13,83111.23,82272.55
127.33,82955.27,82094.19
128.53,82799.85,81915.83
129.73,82644.97,81737.47
130.93,82490.64,81559.12
132.13,82336.88,81380.76
133.33,82183.70,81202.40
134.53,82031.11,81024.05
135.74,81879.11,80845.69
136.94,81727.73,80667.33
138.14,81576.97,80488.98
139.34,81426.85,80310.62
140.54,81277.38,80132.26
141.74,81128.56,79953.91
142.94,80980.42,79775.55
144.14,80832.97,79597.19
145.35,80686.22,79418.84
146.55,80540.18,79240.48
147.75,80394.86,79062.12
148.95,80250.29,78883.77
150.15,80106.47,78705.41
151.35,79963.42,78527.05
152.55,79821.14,78348.70
153.75,79679.67,78170.34
154.95,79539.01,77991.98
156.16,79399.17,77813.63
157.36,79260.17,77635.27
158.56,79122.03,77456.91
159.76,78984.76,77278.56
160.96,78848.38,77100.20
162.16,78712.90,76921.84
163.36,78578.34,76743.49
164.56,78444.71,76565.13
165.77,78312.04,76386.77
166.97,78180.33,76208.42
168.17,78049.61,76030.06
169.37,77919.89,75851.70
170.57,77791.19,75673.35
171.77,77663.52,75494.99
172.97,77536.91,75316.63
174.17,77411.37,75138.28
175.38,77286.92,74959.92
176.58,77163.58,74781.56
177.78,77041.36,74603.21
178.98,76920.29,74424.85
180.18,76800.39,74246.49
181.38,76681.66,74068.14
182.58,76564.15,73889.78
183.78,76447.85,73711.42
184.98,76332.79,73533.07
186.19,76219.00,73354.71
187.39,76106.49,73176.35
188.59,75995.28,72998.00
189.79,75885.39,72819.64
190.99,75776.85,72641.28
192.19,75669.67,72462.93
193.39,75563.88,72284.57
194.59,75459.49,72106.21
195.80,75356.54,71927.86
197.00,75255.03,71749.50
198.20,75155.00,71571.14
199.40,75056.47,71392.79
200.60,74959.45,71214.43
201.80,74863.97,71036.07
203.00,74770.06,70857.72
204.20,74677.74,70679.36
205.41,74587.02,70501.00
206.61,74497.94,70322.65
207.81,74410.52,70144.29
209.01,74324.78,69965.93
210.21,74240.74,69787.58
211.41,74158.44,69609.22
212.61,74077.89,69430.86
213.81,73999.13,69252.51
215.02,73922.17,69074.15
216.22,73847.04,68895.79
217.42,73773.77,68717.43
218.62,73702.38,68539.08
219.82,73632.89,68360.72
221.02,73565.35,68182.36
222.22,73499.76,68004.01
223.42,73436.17,67825.65
224.62,73374.58,67647.29
225.83,73315.04,67468.94
227.03,73257.57,67290.58
228.23,73202.20,67112.22
229.43,73148.95,66933.87
230.63,73097.85,66755.51
231.83,73048.93,66577.15
233.03,73002.23,66398.80
234.23,72957.76,66220.44
235.44,72915.55,66042.08
236.64,72875.64,65863.73
237.84,72838.06,65685.37
239.04,72802.83,65507.01
240.24,72769.98,65328.66
241.44,72739.55,65150.30
242.64,72711.56,64971.94
243.84,72686.04,64793.59
245.05,72663.02,64615.23
246.25,72642.54,64436.87
247.45,72624.63,64258.52
248.65,72609.31,64080.16
249.85,72596.62,63901.80
251.05,72586.58,63723.45
252.25,72579.24,63545.09
253.45,72574.62,63366.73
254.65,72572.75,63188.38
255.86,72573.67,63010.02
257.06,72577.40,62831.66
258.26,72583.98,62653.31
259.46,72593.45,62474.95
260.66,72605.83,62296.59
261.86,72621.16,62118.24
263.06,72639.47,61939.88
264.26,72660.80,61761.52
265.47,72685.17,61583.17
266.67,72712.62,61404.81
267.87,72743.19,61226.45
269.07,72776.91,61048.10
270.27,72813.81,60869.74
271.47,72853.92,60691.38
272.67,72897.29,60513.03
273.87,72943.94,60334.67
275.08,72993.91,60156.31
276.28,73047.24,59977.96
277.48,73103.95,59799.60
278.68,73164.08,59621.24
279.88,73227.68,59442.89
281.08,73294.77,59264.53
282.28,73365.38,59086.17
283.48,73439.56,58907.82
284.68,73517.34,58729.46
285.89,73598.75,58551.10
287.09,73683.82,58372.75
288.29,73772.61,58194.39
289.49,73865.13,58016.03
290.69,73961.42,57837.68
291.89,74061.53,57659.32
293.09,74165.48,57480.96
294.29,74273.31,57302.61
295.50,74385.06,57124.25
296.70,74500.76,56945.89
297.90,74620.44,56767.54
299.10,74744.15,56589.18
300.30,74871.92,56410.82
301.50,75003.77,56232.46
302.70,75139.76,56054.11
303.90,75279.91,55875.75
305.11,75424.25,55697.39
306.31,75572.83,55519.04
307.51,75725.67,55340.68
308.71,75882.82,55162.32
309.91,76044.30,54983.97
311.11,76210.15,54805.61
312.31,76380.40,54627.25
313.51,76555.09,54448.90
314.71,76734.25,54270.54
315.92,76917.91,54092.18
317.12,77106.12,53913.83
318.32,77298.89,53735.47
319.52,77496.26,53557.11
320.72,77698.26,53378.76
321.92,77904.93,53200.40
323.12,78116.30,53022.04
324.32,78332.39,52843.69
325.53,78553.24,52665.33
326.73,78778.87,52486.97
327.93,79009.33,52308.62
329.13,79244.63,52130.26
330.33,79484.80,51951.90
331.53,79729.87,51773.55
332.73,79979.87,51595.19
333.93,80234.83,51416.83
335.14,80494.77,51238.48
336.34,80759.72,51060.12
337.54,81029.69,50881.76
338.74,81304.72,50703.41
339.94,81584.83,50525.05
341.14,81870.04,50346.69
342.34,82160.36,50168.34
343.54,82455.83,49989.98
344.74,82756.46,49811.62
345.95,83062.27,49633.27
347.15,83373.27,49454.91
348.35,83689.49,49276.55
349.55,84010.93,49098.20
350.75,84337.62,48919.84
351.95,84669.56,48741.48
353.15,85006.77,48563.13
354.35,85349.25,48384.77
355.56,85697.02,48206.41
356.76,86050.09,48028.06
357.96,86408.45,47849.70
359.16,86772.12,47671.34
360.36,87141.10,47492.99
361.56,87515.39,47314.63
362.76,87894.99,47136.27
363.96,88279.89,46957.92
365.17,88670.10,46779.56
366.37,89065.55,46601.20
367.57,89466.02,46422.85
368.77,89871.26,46244.49
369.97,90281.04,46066.13
371.17,90695.13,45887.78
372.37,91113.30,45709.42
373.57,91535.32,45531.06
374.77,91960.96,45352.71
375.98,92390.02,45174.35
377.18,92822.27,44995.99
378.38,93257.50,44817.64
379.58,93695.50,44639.28
380.78,94136.05,44460.92
381.98,94578.95,44282.57
383.18,95023.99,44104.21
384.38,95470.98,43925.85
385.59,95919.69,43747.49
386.79,96369.95,43569.14
387.99,96821.53,43390.78
389.19,97274.26,43212.42
390.39,97727.93,43034.07
391.59,98182.34,42855.71
392.79,98637.30,42677.35
393.99,99092.62,42499.00
395.20,99548.10,42320.64
396.40,100003.56,42142.28
397.60,100458.80,41963.93
398.80,100913.63,41785.57
400.00,101367.87,41607.21
401.20,101821.32,41428.86
402.40,102273.80,41250.50
403.60,102725.13,41072.14
404.80,103175.11,40893.79
406.01,103623.56,40715.43
407.21,104070.30,40537.07
408.41,104515.14,40358.72
409.61,104957.90,40180.36
410.81,105398.40,40002.00
412.01,105836.45,39823.65
413.21,106271.88,39645.29
414.41,106704.50,39466.93
415.62,107134.13,39288.58
416.82,107560.60,39110.22
418.02,107983.72,38931.86
419.22,108403.32,38753.51
420.42,108819.22,38575.15
421.62,109231.24,38396.79
422.82,109639.20,38218.44
424.02,110042.94,38040.08
425.23,110442.28,37861.72
426.43,110837.04,37683.37
427.63,111227.06,37505.01
428.83,111612.15,37326.65
430.03,111992.15,37148.30
431.23,112366.89,36969.94
432.43,112736.20,36791.58
433.63,113099.91,36613.23
434.83,113457.85,36434.87
436.04,113809.86,36256.51
437.24,114155.78,36078.16
438.44,114495.43,35899.80
439.64,114828.65,35721.44
440.84,115155.30,35543.09
442.04,115475.19,35364.73
443.24,115788.18,35186.37
444.44,116094.11,35008.02
445.65,116392.81,34829.66
446.85,116684.15,34651.30
448.05,116967.95,34472.95
449.25,117244.07,34294.59
450.45,117512.36,34116.23
451.65,117772.68,33937.88
452.85,118024.86,33759.52
454.05,118268.77,33581.16
455.26,118504.27,33402.81
456.46,118731.20,33224.45
457.66,118949.44,33046.09
458.86,119158.83,32867.74
460.06,119359.26,32689.38
461.26,119550.57,32511.02
462.46,119732.64,32332.67
463.66,119905.33,32154.31
464.86,120068.53,31975.95
466.07,120222.10,31797.60
467.27,120365.91,31619.24
468.47,120499.85,31440.88
469.67,120623.80,31262.53
470.87,120737.63,31084.17
472.07,120841.24,30905.81
473.27,120934.51,30727.45
474.47,121017.33,30549.10
475.68,121089.59,30370.74
476.88,121151.19,30192.38
478.08,121202.02,30014.03
479.28,121241.99,29835.67
480.48,121271.00,29657.31
481.68,121288.95,29478.96
482.88,121295.75,29300.60
484.08,121291.32,29122.24
485.29,121275.56,28943.89
486.49,121248.40,28765.53
487.69,121209.75,28587.17
488.89,121159.53,28408.82
490.09,121097.68,28230.46
491.29,121024.12,28052.10
492.49,120938.78,27873.75
493.69,120841.60,27695.39
494.89,120732.51,27517.03
496.10,120611.46,27338.68
497.30,120478.39,27160.32
498.50,120333.24,26981.96
499.70,120175.98,26803.61
500.90,120006.55,26625.25
502.10,119824.92,26446.89
503.30,119631.03,26268.54
504.50,119424.86,26090.18
505.71,119206.37,25911.82
506.91,118975.54,25733.47
508.11,118732.34,25555.11
509.31,118476.75,25376.75
510.51,118208.74,25198.40
511.71,117928.31,25020.04
512.91,117635.44,24841.68
514.11,117330.13,24663.33
515.32,117012.36,24484.97
516.52,116682.14,24306.61
517.72,116339.48,24128.26
518.92,115984.37,23949.90
520.12,115616.83,23771.54
521.32,115236.87,23593.19
522.52,114844.51,23414.83
523.72,114439.77,23236.47
524.92,114022.67,23058.12
526.13,113593.24,22879.76
527.33,113151.52,22701.40
528.53,112697.53,22523.05
529.73,112231.32,22344.69
530.93,111752.92,22166.33
532.13,111262.39,21987.98
533.33,110759.77,21809.62
534.53,110245.12,21631.26
535.74,109718.49,21452.91
536.94,109179.95,21274.55
538.14,108629.55,21096.19
539.34,108067.37,20917.84
540.54,107493.47,20739.48
541.74,106907.93,20561.12
542.94,106310.82,20382.77
544.14,105702.24,20204.41
545.35,105082.25,20026.05
546.55,104450.96,19847.70
547.75,103808.45,19669.34
548.95,103154.82,19490.98
550.15,102490.15,19312.63
551.35,101814.57,19134.27
552.55,101128.17,18955.91
553.75,100431.05,18777.56
554.95,99723.33,18599.20
556.16,99005.13,18420.84
557.36,98276.56,18242.48
558.56,97537.73,18064.13
559.76,96788.79,17885.77
560.96,96029.84,17707.41
562.16,95261.03,17529.06
563.36,94482.47,17350.70
564.56,93694.32,17172.34
565.77,92896.70,16993.99
566.97,92089.76,16815.63
568.17,91273.64,16637.27
569.37,90448.48,16458.92
570.57,89614.45,16280.56
571.77,88771.68,16102.20
572.97,87920.33,15923.85
574.17,87060.56,15745.49
575.38,86192.52,15567.13
576.58,85316.39,15388.78
577.78,84432.31,15210.42
578.98,83540.47,15032.06
580.18,82641.02,14853.71
581.38,81734.14,14675.35
582.58,80819.99,14496.99
583.78,79898.76,14318.64
584.98,78970.62,14140.28
586.19,78035.74,13961.92
587.39,77094.31,13783.57
588.59,76146.51,13605.21
589.79,75192.52,13426.85
590.99,74232.53,13248.50
592.19,73266.72,13070.14
593.39,72295.29,12891.78
594.59,71318.41,12713.43
595.80,70336.29,12535.07
597.00,69349.11,12356.71
598.20,68357.07,12178.36
599.40,67360.36,12000.00
600.60,67360.36,12000.00
601.80,68357.07,12178.36
603.00,69349.11,12356.71
604.20,70336.29,12535.07
605.41,71318.41,12713.43
606.61,72295.29,12891.78
607.81,73266.72,13070.14
609.01,74232.53,13248.50
610.21,75192.52,13426.85
611.41,76146.51,13605.21
612.61,77094.31,13783.57
613.81,78035.74,13961.92
615.02,78970.62,14140.28
616.22,79898.76,14318.64
617.42,80819.99,14496.99
618.62,81734.14,14675.35
619.82,82641.02,14853.71
621.02,83540.47,15032.06
622.22,84432.31,15210.42
623.42,85316.39,15388.78
624.62,86192.52,15567.13
625.83,87060.56,15745.49
627.03,87920.33,15923.85
628.23,88771.68,16102.20
629.43,89614.45,16280.56
630.63,90448.48,16458.92
631.83,91273.64,16637.27
633.03,92089.76,16815.63
634.23,92896.70,16993.99
635.44,93694.32,17172.34
636.64,94482.47,17350.70
637.84,95261.03,17529.06
639.04,96029.84,17707.41
640.24,96788.79,17885.77
641.44,97537.73,18064.13
642.64,98276.56,18242.48
643.84,99005.13,18420.84
645.05,99723.33,18599.20
646.25,100431.05,18777.56
647.45,101128.17,18955.91
648.65,101814.57,19134.27
649.85,102490.15,19312.63
651.05,103154.82,19490.98
652.25,103808.45,19669.34
653.45,104450.96,19847.70
654.65,105082.25,20026.05
655.86,105702.24,20204.41
657.06,106310.82,20382.77
658.26,106907.93,20561.12
659.46,107493.47,20739.48
660.66,108067.37,20917.84
661.86,108629.55,21096.19
663.06,109179.95,21274.55
664.26,109718.49,21452.91
665.47,110245.12,21631.26
666.67,110759.77,21809.62
667.87,111262.39,21987.98
669.07,111752.92,22166.33
670.27,112231.32,22344.69
671.47,112697.53,22523.05
672.67,113151.52,22701.40
673.87,113593.24,22879.76
675.08,114022.67,23058.12
676.28,114439.77,23236.47
677.48,114844.51,23414.83
678.68,115236.87,23593.19
679.88,115616.83,23771.54
681.08,115984.37,23949.90
682.28,116339.48,24128.26
683.48,116682.14,24306.61
684.68,117012.36,24484.97
685.89,117330.13,24663.33
687.09,117635.44,24841.68
688.29,117928.31,25020.04
689.49,118208.74,25198.40
690.69,118476.75,25376.75
691.89,118732.34,25555.11
693.09,118975.54,25733.47
694.29,119206.37,25911.82
695.50,119424.86,26090.18
696.70,119631.03,26268.54
697.90,119824.92,26446.89
699.10,120006.55,26625.25
700.30,120175.98,26803.61
701.50,120333.24,26981.96
702.70,120478.39,27160.32
703.90,120611.46,27338.68
705.11,120732.51,27517.03
706.31,120841.60,27695.39
707.51,120938.78,27873.75
708.71,121024.12,28052.10
709.91,121097.68,28230.46
711.11,121159.53,28408.82
712.31,121209.75,28587.17
713.51,121248.40,28765.53
714.71,121275.56,28943.89
715.92,121291.32,29122.24
717.12,121295.75,29300.60
718.32,121288.95,29478.96
719.52,121271.00,29657.31
720.72,121241.99,29835.67
721.92,121202.02,30014.03
723.12,121151.19,30192.38
724.32,121089.59,30370.74
725.53,121017.33,30549.10
726.73,120934.51,30727.45
727.93,120841.24,30905.81
729.13,120737.63,31084.17
730.33,120623.80,31262.53
731.53,120499.85,31440.88
732.73,120365.91,31619.24
733.93,120222.10,31797.60
735.14,120068.53,31975.95
736.34,119905.33,32154.31
737.54,119732.64,32332.67
738.74,119550.57,32511.02
739.94,119359.26,32689.38
741.14,119158.83,32867.74
742.34,118949.44,33046.09
743.54,118731.20,33224.45
744.74,118504.27,33402.81
745.95,118268.77,33581.16
747.15,118024.86,33759.52
748.35,117772.68,33937.88
749.55,117512.36,34116.23
750.75,117244.07,34294.59
751.95,116967.95,34472.95
753.15,116684.15,34651.30
754.35,116392.81,34829.66
755.56,116094.11,35008.02
756.76,115788.18,35186.37
757.96,115475.19,35364.73
759.16,115155.30,35543.09
760.36,114828.65,35721.44
761.56,114495.43,35899.80
762.76,114155.78,36078.16
763.96,113809.86,36256.51
765.17,113457.85,36434.87
766.37,113099.91,36613.23
767.57,112736.20,36791.58
768.77,112366.89,36969.94
769.97,111992.15,37148.30
771.17,111612.15,37326.65
772.37,111227.06,37505.01
773.57,110837.04,37683.37
774.77,110442.28,37861.72
775.98,110042.94,38040.08
777.18,109639.20,38218.44
778.38,109231.24,38396.79
779.58,108819.22,38575.15
780.78,108403.32,38753.51
781.98,107983.72,38931.86
783.18,107560.60,39110.22
784.38,107134.13,39288.58
785.59,106704.50,39466.93
786.79,106271.88,39645.29
787.99,105836.45,39823.65
789.19,105398.40,40002.00
790.39,104957.90,40180.36
791.59,104515.14,40358.72
792.79,104070.30,40537.07
793.99,103623.56,40715.43
795.20,103175.11,40893.79
796.40,102725.13,41072.14
797.60,102273.80,41250.50
798.80,101821.32,41428.86
800.00,101367.87,41607.21
801.20,100913.63,41785.57
802.40,100458.80,41963.93
803.60,100003.56,42142.28
804.80,99548.10,42320.64
806.01,99092.62,42499.00
807.21,98637.30,42677.35
808.41,98182.34,42855.71
809.61,97727.93,43034.07
810.81,97274.26,43212.42
812.01,96821.53,43390.78
813.21,96369.95,43569.14
814.41,95919.69,43747.49
815.62,95470.98,43925.85
816.82,95023.99,44104.21
818.02,94578.95,44282.57
819.22,94136.05,44460.92
820.42,93695.50,44639.28
821.62,93257.50,44817.64
822.82,92822.27,44995.99
824.02,92390.02,45174.35
825.23,91960.96,45352.71
826.43,91535.32,45531.06
827.63,91113.30,45709.42
828.83,90695.13,45887.78
830.03,90281.04,46066.13
831.23,89871.26,46244.49
832.43,89466.02,46422.85
833.63,89065.55,46601.20
834.83,88670.10,46779.56
836.04,88279.89,46957.92
837.24,87894.99,47136.27
838.44,87515.39,47314.63
839.64,87141.10,47492.99
840.84,86772.12,47671.34
842.04,86408.45,47849.70
843.24,86050.09,48028.06
844.44,85697.02,48206.41
845.65,85349.25,48384.77
846.85,85006.77,48563.13
848.05,84669.56,48741.48
849.25,84337.62,48919.84
850.45,84010.93,49098.20
851.65,83689.49,49276.55
852.85,83373.27,49454.91
854.05,83062.27,49633.27
855.26,82756.46,49811.62
856.46,82455.83,49989.98
857.66,82160.36,50168.34
858.86,81870.04,50346.69
860.06,81584.83,50525.05
861.26,81304.72,50703.41
862.46,81029.69,50881.76
863.66,80759.72,51060.12
864.86,80494.77,51238.48
866.07,80234.83,51416.83
867.27,79979.87,51595.19
868.47,79729.87,51773.55
869.67,79484.80,51951.90
870.87,79244.63,52130.26
872.07,79009.33,52308.62
873.27,78778.87,52486.97
874.47,78553.24,52665.33
875.68,78332.39,52843.69
876.88,78116.30,53022.04
878.08,77904.93,53200.40
879.28,77698.26,53378.76
880.48,77496.26,53557.11
881.68,77298.89,53735.47
882.88,77106.12,53913.83
884.08,76917.91,54092.18
885.29,76734.25,54270.54
886.49,76555.09,54448.90
887.69,76380.40,54627.25
888.89,76210.15,54805.61
890.09,76044.30,54983.97
891.29,75882.82,55162.32
892.49,75725.67,55340.68
893.69,75572.83,55519.04
894.89,75424.25,55697.39
896.10,75279.91,55875.75
897.30,75139.76,56054.11
898.50,75003.77,56232.46
899.70,74871.92,56410.82
900.90,74744.15,56589.18
902.10,74620.44,56767.54
903.30,74500.76,56945.89
904.50,74385.06,57124.25
905.71,74273.31,57302.61
906.91,74165.48,57480.96
908.11,74061.53,57659.32
909.31,73961.42,57837.68
910.51,73865.13,58016.03
911.71,73772.61,58194.39
912.91,73683.82,58372.75
914.11,73598.75,58551.10
915.32,73517.34,58729.46
916.52,73439.56,58907.82
917.72,73365.38,59086.17
918.92,73294.77,59264.53
920.12,73227.68,59442.89
921.32,73164.08,59621.24
922.52,73103.95,59799.60
923.72,73047.24,59977.96
924.92,72993.91,60156.31
926.13,72943.94,60334.67
927.33,72897.29,60513.03
928.53,72853.92,60691.38
929.73,72813.81,60869.74
930.93,72776.91,61048.10
932.13,72743.19,61226.45
933.33,72712.62,61404.81
934.53,72685.17,61583.17
935.74,72660.80,61761.52
936.94,72639.47,61939.88
938.14,72621.16,62118.24
939.34,72605.83,62296.59
940.54,72593.45,62474.95
941.74,72583.98,62653.31
942.94,72577.40,62831.66
944.14,72573.67,63010.02
945.35,72572.75,63188.38
946.55,72574.62,63366.73
947.75,72579.24,63545.09
948.95,72586.58,63723.45
950.15,72596.62,63901.80
951.35,72609.31,64080.16
952.55,72624.63,64258.52
953.75,72642.54,64436.87
954.95,72663.02,64615.23
956.16,72686.04,64793.59
957.36,72711.56,64971.94
958.56,72739.55,65150.30
959.76,72769.98,65328.66
960.96,72802.83,65507.01
962.16,72838.06,65685.37
963.36,72875.64,65863.73
964.56,72915.55,66042.08
965.77,72957.76,66220.44
966.97,73002.23,66398.80
968.17,73048.93,66577.15
969.37,73097.85,66755.51
970.57,73148.95,66933.87
971.77,73202.20,67112.22
972.97,73257.57,67290.58
974.17,73315.04,67468.94
975.38,73374.58,67647.29
976.58,73436.17,67825.65
977.78,73499.76,68004.01
978.98,73565.35,68182.36
980.18,73632.89,68360.72
981.38,73702.38,68539.08
982.58,73773.77,68717.43
983.78,73847.04,68895.79
984.98,73922.17,69074.15
986.19,73999.13,69252.51
987.39,74077.89,69430.86
988.59,74158.44,69609.22
989.79,74240.74,69787.58
990.99,74324.78,69965.93
992.19,74410.52,70144.29
993.39,74497.94,70322.65
994.59,74587.02,70501.00
995.80,74677.74,70679.36
997.00,74770.06,70857.72
998.20,74863.97,71036.07
999.40,74959.45,71214.43
1000.60,75056.47,71392.79
1001.80,75155.00,71571.14
1003.00,75255.03,71749.50
1004.20,75356.54,71927.86
1005.41,75459.49,72106.21
1006.61,75563.88,72284.57
1007.81,75669.67,72462.93
1009.01,75776.85,72641.28
1010.21,75885.39,72819.64
1011.41,75995.28,72998.00
1012.61,76106.49,73176.35
1013.81,76219.00,73354.71
1015.02,76332.79,73533.07
1016.22,76447.85,73711.42
1017.42,76564.15,73889.78
1018.62,76681.66,74068.14
1019.82,76800.39,74246.49
1021.02,76920.29,74424.85
1022.22,77041.36,74603.21
1023.42,77163.58,74781.56
1024.62,77286.92,74959.92
1025.83,77411.37,75138.28
1027.03,77536.91,75316.63
1028.23,77663.52,75494.99
1029.43,77791.19,75673.35
1030.63,77919.89,75851.70
1031.83,78049.61,76030.06
1033.03,78180.33,76208.42
1034.23,78312.04,76386.77
1035.44,78444.71,76565.13
1036.64,78578.34,76743.49
1037.84,78712.90,76921.84
1039.04,78848.38,77100.20
1040.24,78984.76,77278.56
1041.44,79122.03,77456.91
1042.64,79260.17,77635.27
1043.84,79399.17,77813.63
1045.05,79539.01,77991.98
1046.25,79679.67,78170.34
1047.45,79821.14,78348.70
1048.65,79963.42,78527.05
1049.85,80106.47,78705.41
1051.05,80250.29,78883.77
1052.25,80394.86,79062.12
1053.45,80540.18,79240.48
1054.65,80686.22,79418.84
1055.86,80832.97,79597.19
1057.06,80980.42,79775.55
1058.26,81128.56,79953.91
1059.46,81277.38,80132.26
1060.66,81426.85,80310.62
1061.86,81576.97,80488.98
1063.06,81727.73,80667.33
1064.26,81879.11,80845.69
1065.47,82031.11,81024.05
1066.67,82183.70,81202.40
1067.87,82336.88,81380.76
1069.07,82490.64,81559.12
1070.27,82644.97,81737.47
1071.47,82799.85,81915.83
1072.67,82955.27,82094.19
1073.87,83111.23,82272.55
1075.08,83267.71,82450.90
1076.28,83424.69,82629.26
1077.48,83582.19,82807.62
1078.68,83740.17,82985.97
1079.88,83898.63,83164.33
1081.08,84057.57,83342.69
1082.28,84216.96,83521.04
1083.48,84376.81,83699.40
1084.68,84537.11,83877.76
1085.89,84697.83,84056.11
1087.09,84858.99,84234.47
1088.29,85020.55,84412.83
1089.49,85182.53,84591.18
1090.69,85344.90,84769.54
1091.89,85507.66,84947.90
1093.09,85670.81,85126.25
1094.29,85834.33,85304.61
1095.50,85998.21,85482.97
1096.70,86162.46,85661.32
1097.90,86327.05,85839.68
1099.10,86491.99,86018.04
1100.30,86657.26,86196.39
1101.50,86822.86,86374.75
1102.70,86988.77,86553.11
1103.90,87155.01,86731.46
1105.11,87321.55,86909.82
1106.31,87488.39,87088.18
1107.51,87655.52,87266.53
1108.71,87822.94,87444.89
1109.91,87990.63,87623.25
1111.11,88158.61,87801.60
1112.31,88326.85,87979.96
1113.51,88495.35,88158.32
1114.71,88664.10,88336.67
1115.92,88833.11,88515.03
1117.12,89002.36,88693.39
1118.32,89171.85,88871.74
1119.52,89341.57,89050.10
1120.72,89511.52,89228.46
1121.92,89681.69,89406.81
1123.12,89852.07,89585.17
1124.32,90022.67,89763.53
1125.53,90193.48,89941.88
1126.73,90364.48,90120.24
1127.93,90535.69,90298.60
1129.13,90707.08,90476.95
1130.33,90878.67,90655.31
1131.53,91050.43,90833.67
1132.73,91222.38,91012.02
1133.93,91394.50,91190.38
1135.14,91566.79,91368.74
1136.34,91739.24,91547.09
1137.54,91911.86,91725.45
1138.74,92084.63,91903.81
1139.94,92257.56,92082.16
1141.14,92430.64,92260.52
1142.34,92603.87,92438.88
1143.54,92777.24,92617.23
1144.74,92950.74,92795.59
1145.95,93124.39,92973.95
1147.15,93298.16,93152.30
1148.35,93472.07,93330.66
1149.55,93646.09,93509.02
1150.75,93820.25,93687.37
1151.95,93994.52,93865.73
1153.15,94168.91,94044.09
1154.35,94343.41,94222.44
1155.56,94518.02,94400.80
1156.76,94692.74,94579.16
1157.96,94867.56,94757.52
1159.16,95042.48,94935.87
1160.36,95217.51,95114.23
1161.56,95392.63,95292.59
1162.76,95567.85,95470.94
1163.96,95743.15,95649.30
1165.17,95918.55,95827.66
1166.37,96094.03,96006.01
1167.57,96269.60,96184.37
1168.77,96445.25,96362.73
1169.97,96620.98,96541.08
1171.17,96796.78,96719.44
1172.37,96972.67,96897.80
1173.57,97148.62,97076.15
1174.77,97324.65,97254.51
1175.98,97500.75,97432.87
1177.18,97676.91,97611.22
1178.38,97853.15,97789.58
1179.58,98029.44,97967.94
